# INTERNAL_OJS vocabulary — 6 May-2008 packages (2008085-2008105), issue 41 sweep
# element<TAB>count<TAB>packages_seen(of 6)<TAB>attrs
#PACKAGES 6
#HEADINGS 2110:961 2210:912 2280:910 2180:846 8098:642 1110:388 1180:380 2580:256 2220:249 2540:159 2510:138 2100:123 2240:109 2120:101 1120:68 1100:64 2200:57 0708:51 22D0:34 25F0:32 C398:31 3210:28 25C0:26 2140:25 22E0:21 2230:20 2520:19 3380:19 3310:18 1160:16 2130:15 1140:15 3280:13 22M0:12 PARL:12 3340:11 3110:10 0788:8 2250:8 9008:7 5008:6 21Y0:6 11M0:6 C298:6 0808:6 3180:6 3540:5 4280:4 3220:4 1130:4 21M0:3 CONS:3 4310:3 4008:3 3140:3 2150:2 4380:2 3580:2 25E0:2 3320:2 22Y0:1 3510:1 3350:1 3300:1 3200:1 4180:1 4320:1 25B0:1 1150:1 4520:1 33M0:1 33D0:1 3120:1 21B0:1 02A0:1
COMPLEMENTARY_INFORMATION_CONTRACT_NOTICE	469	6	
COMPLEMENTARY_INFORMATION_CONTRACT_UTILITIES	43	6	
COMPLEMENTARY_INFORMATION_DESIGN_CONTEST	4	3	
COMPLEMENTARY_INFORMATION_PERIODIC_INDICATIVE	5	4	
COMPLEMENTARY_INFORMATION_QUALIFICATION_SYSTEM	3	2	
COMPLEMENTARY_INFORMATION_SIMPLIFIED_CONTRACT	1	1	
CONCESSION_SUM	16	6	CATEGORY FORM LG VERSION
CONDITIONS_CONTRACT	4	4	
CONDITIONS_ECONOMIC_OPERATORS	3	2	
CONDITIONS_FOR_MORE_INFORMATION	34	6	
CONDITIONS_FOR_MORE_INFORMATION_SUM	229	6	
CONDITIONS_FOR_OPENING_TENDERS	213	6	
CONDITIONS_OBTAINING_SPECIFICATIONS	449	6	
CONDITIONS_OBTAINING_SPECIFICATIONS_SUM	2780	6	
CONDITIONS_PARTICIPATION	4	4	
CONTACTING_AUTHORITY_INFO	43	6	
CONTACTING_AUTHORITY_INFORMATION	291	6	
CONTACTING_AUTHORITY_INFORMATION_SUM	1890	6	
CONTACTING_AUTHORITY_INFO_SUM	280	6	
CONTACT_DATA	3455	6	
CONTACT_DATA_WITHOUT_RESPONSIBLE_NAME	6670	6	
CONTACT_DATA_WITHOUT_RESPONSIBLE_NAME_CHP	421	6	
CONTACT_POINT	6921	6	
CONTENTS	774	6	
CONTEST_NUMBER	28	5	
CONTEST_TYPE	4	3	
CONTRACT	469	6	CATEGORY FORM LG VERSION
CONTRACTING_AUTHORITY_INFORMATION	469	6	
CONTRACTING_AUTHORITY_INFORMATION_SUM	2519	6	
CONTRACTING_ENTITY_CONTRACT_AWARD_UTILITIES	24	5	
CONTRACTING_ENTITY_CONTRACT_AWARD_UTILITIES_SUM	234	6	
CONTRACTING_ENTITY_QUALIFICATION_SYSTEM	3	2	
CONTRACTING_ENTITY_QUALIFICATION_SYSTEM_SUM	23	5	
CONTRACTING_ENTITY_RESULT_DESIGN_CONTEST_SUM	23	6	
CONTRACT_AWARD	291	6	CATEGORY FORM LG VERSION
CONTRACT_AWARD_DATE	735	6	
