# INTERNAL_OJS _SUM alias -> r209 base element (issue 41, mined from 6 May-2008 packages 2008085-2008105)
# base_in_r209=1 means the r209 rule applies to the aliased element; 0 = DRIFT, needs its own decision
alias	base	base_in_r209	count	packages
OBJECT_CONTRACT_PERIODIC_INDICATIVE_SUM	OBJECT_CONTRACT_PERIODIC_INDICATIVE	1	27	6
OBJECT_DESIGN_CONTEST_SUM	OBJECT_DESIGN_CONTEST	1	31	6
OBJECT_NOTICE_BUYER_PROFILE_SUM	OBJECT_NOTICE_BUYER_PROFILE	1	2	2
OBJECT_QUALIFICATION_SYSTEM_SUM	OBJECT_QUALIFICATION_SYSTEM	1	23	5
OBJECT_RESULT_DESIGN_CONTEST_SUM	OBJECT_RESULT_DESIGN_CONTEST	1	23	6
OBJECT_SIMPLIFIED_CONTRACT_NOTICE_SUM	OBJECT_SIMPLIFIED_CONTRACT_NOTICE	1	1	1
OBJECT_SUPPLY_SERVICE_PRIOR_INFORMATION_SUM	OBJECT_SUPPLY_SERVICE_PRIOR_INFORMATION	1	159	6
OBJECT_WORKS_PRIOR_INFORMATION_SUM	OBJECT_WORKS_PRIOR_INFORMATION	1	58	6
PERIODIC_INDICATIVE_UTILITIES_SUM	PERIODIC_INDICATIVE_UTILITIES	1	27	6
PRIOR_INFORMATION_SUM	PRIOR_INFORMATION	1	217	6
PROCEDURES_CONCESSION_SUM	PROCEDURES_CONCESSION	1	16	6
PROCEDURES_DESIGN_CONTEST_SUM	PROCEDURES_DESIGN_CONTEST	1	31	6
PROCEDURES_QUALIFICATION_SYSTEM_SUM	PROCEDURES_QUALIFICATION_SYSTEM	1	23	5
PROCEDURES_SIMPLIFIED_CONTRACT_NOTICE_SUM	PROCEDURES_SIMPLIFIED_CONTRACT_NOTICE	1	1	1
PROCEDURE_DEFINITION_CONTRACT_NOTICE_SUM	PROCEDURE_DEFINITION_CONTRACT_NOTICE	1	2519	6
PROCEDURE_DEFINITION_CONTRACT_NOTICE_UTILITIES_SUM	PROCEDURE_DEFINITION_CONTRACT_NOTICE_UTILITIES	1	280	6
QUALIFICATION_SYSTEM_UTILITIES_SUM	QUALIFICATION_SYSTEM_UTILITIES	1	23	5
RESULTS_CONTEST_RESULT_DESIGN_CONTEST_SUM	RESULTS_CONTEST_RESULT_DESIGN_CONTEST	1	23	6
RESULT_CONTEST_SUM	RESULT_CONTEST	1	53	6
RESULT_DESIGN_CONTEST_SUM	RESULT_DESIGN_CONTEST	1	23	6
SIMPLIFIED_CONTRACT_SUM	SIMPLIFIED_CONTRACT	1	1	1
